Strike,Bid,Ask,isPut
0,1.441050e+03,1.441050e+03,0
100,1304,1.297300e+03,0
200,1.204500e+03,1.197800e+03,0
250,1.154800e+03,1.148200e+03,0
300,1.105200e+03,1.098500e+03,0
350,1.055600e+03,1049,0
400,1.006200e+03,9.996000e+02,0
450,9.569000e+02,9.503000e+02,0
500,9.078000e+02,9.012000e+02,0
550,8.589000e+02,8.523000e+02,0
600,8.103000e+02,8.037000e+02,0
650,762,7.553000e+02,0
700,714,7.074000e+02,0
750,6.665000e+02,6.598000e+02,0
800,6.194000e+02,6.127000e+02,0
850,5.714000e+02,5.668000e+02,0
900,5.256000e+02,5.209000e+02,0
925,503,4.984000e+02,0
950,4.805000e+02,4.756000e+02,0
975,4.583000e+02,4.534000e+02,0
1000,4.363000e+02,4.315000e+02,0
1025,4.146000e+02,4.097000e+02,0
1050,3.932000e+02,3.883000e+02,0
1075,372,3.671000e+02,0
1100,3.512000e+02,3.463000e+02,0
1125,3.306000e+02,3.257000e+02,0
1150,3.105000e+02,3.056000e+02,0
1175,2.907000e+02,2.858000e+02,0
1200,2.714000e+02,2.664000e+02,0
1225,2.524000e+02,2.475000e+02,0
1250,234,2.301000e+02,0
1275,216,2.121000e+02,0
1300,1.986000e+02,1.946000e+02,0
1325,1.817000e+02,1.777000e+02,0
1350,1.655000e+02,1.614000e+02,0
1375,1.498000e+02,1.457000e+02,0
1400,1.348000e+02,1.307000e+02,0
1425,1.205000e+02,1.164000e+02,0
1450,1.071000e+02,1.029000e+02,0
1475,9.450000e+01,8.980000e+01,0
1500,8.270000e+01,7.850000e+01,0
1525,7.160000e+01,6.820000e+01,0
1550,6.180000e+01,5.830000e+01,0
1575,5.290000e+01,4.940000e+01,0
1600,4.490000e+01,4.140000e+01,0
1625,3.780000e+01,3.420000e+01,0
1650,3.160000e+01,2.770000e+01,0
1700,2.080000e+01,1.850000e+01,0
1800,8.600000e+00,6.700000e+00,0
1900,3.600000e+00,2.500000e+00,0
2000,2.050000e+00,1.100000e+00,0
2250,3.500000e-01,3.000000e-01,0
2500,1,NaN,0
3000,1,NaN,0
100,1.000000e-01,5.000000e-02,1
200,1,NaN,1
250,1,5.000000e-02,1
300,1,5.000000e-02,1
350,1.300000e+00,3.500000e-01,1
400,1.550000e+00,6.000000e-01,1
450,2.050000e+00,1.100000e+00,1
500,2.850000e+00,1.900000e+00,1
550,3.800000e+00,2.600000e+00,1
600,4.900000e+00,3.900000e+00,1
650,6.400000e+00,5.100000e+00,1
700,8.200000e+00,6.200000e+00,1
750,1.040000e+01,8.400000e+00,1
800,1.340000e+01,1.080000e+01,1
850,1.670000e+01,1.410000e+01,1
900,2.060000e+01,18,1
925,2.280000e+01,2.030000e+01,1
950,2.590000e+01,22,1
975,2.860000e+01,2.460000e+01,1
1000,3.150000e+01,2.760000e+01,1
1025,3.460000e+01,3.070000e+01,1
1050,38,3.410000e+01,1
1075,4.170000e+01,3.790000e+01,1
1100,4.570000e+01,4.190000e+01,1
1125,5.010000e+01,4.630000e+01,1
1150,5.480000e+01,51,1
1175,5.990000e+01,5.610000e+01,1
1200,6.540000e+01,6.170000e+01,1
1225,7.130000e+01,6.760000e+01,1
1250,7.770000e+01,7.410000e+01,1
1275,8.530000e+01,8.040000e+01,1
1300,9.270000e+01,8.780000e+01,1
1325,100,9.590000e+01,1
1350,1.091000e+02,1.045000e+02,1
1375,1.183000e+02,1.138000e+02,1
1400,1.281000e+02,1.237000e+02,1
1425,1.386000e+02,1.342000e+02,1
1450,150,1.457000e+02,1
1475,1.623000e+02,158,1
1500,1.754000e+02,1.712000e+02,1
1525,1.895000e+02,1.853000e+02,1
1550,2.045000e+02,2.004000e+02,1
1575,2.204000e+02,2.164000e+02,1
1600,2.373000e+02,2.332000e+02,1
1625,255,251,1
1650,2.737000e+02,2.695000e+02,1
1700,3.133000e+02,3.092000e+02,1
1800,4.017000e+02,3.968000e+02,1
1900,496,4.914000e+02,1
2000,594,5.894000e+02,1
2250,8.428000e+02,8.362000e+02,1
2500,1.091600e+03,1.084900e+03,1
3000,1.589100e+03,1.582500e+03,1
